review_id,publication_number,candidate_type,source_file,source_row_index,rank,score,neighbor_rank,similarity_score,method_source,method_name,proposed_or_baseline
BL0001,KR20220156282A,true_random_baseline,pipeline/data/processed_full/B0_contexts.csv,37853,,,,,B0_contexts_random_seed_42,欠陥検出; 特徴抽出,baseline
BL0002,US2024265141A1,true_random_baseline,pipeline/data/processed_full/B0_contexts.csv,43502,,,,,B0_contexts_random_seed_42,CNN; 画像セグメンテーション; 物体検出; 畳み込みニューラルネットワーク; 深層学習モデル,baseline
BL0003,CN113762653B,true_random_baseline,pipeline/data/processed_full/B0_contexts.csv,4746,,,,,B0_contexts_random_seed_42,画像生成・再構成,baseline
BL0004,CN111426282B,true_random_baseline,pipeline/data/processed_full/B0_contexts.csv,2114,,,,,B0_contexts_random_seed_42,画像セグメンテーション; 画像生成・再構成,baseline
BL0005,CN117079182B,true_random_baseline,pipeline/data/processed_full/B0_contexts.csv,19841,,,,,B0_contexts_random_seed_42,画像セグメンテーション; 画像分類; 特徴抽出; 画像生成・再構成; 畳み込みニューラルネットワーク,baseline
BL0006,CN111127416A,true_random_baseline,pipeline/data/processed_full/B0_contexts.csv,3743,,,,,B0_contexts_random_seed_42,UNet; 画像セグメンテーション; 欠陥検出; 画像分類; 特徴抽出,baseline
BL0007,CN118967650A,true_random_baseline,pipeline/data/processed_full/B0_contexts.csv,29320,,,,,B0_contexts_random_seed_42,画像セグメンテーション; 画像生成・再構成,baseline
BL0008,CN120107148A,true_random_baseline,pipeline/data/processed_full/B0_contexts.csv,25413,,,,,B0_contexts_random_seed_42,support vector machine; 欠陥検出; 画像分類; 画像前処理; 撮像装置,baseline
BL0009,IN201914036605A,true_random_baseline,pipeline/data/processed_full/B0_contexts.csv,35039,,,,,B0_contexts_random_seed_42,畳み込みニューラルネットワーク; 深層学習モデル; 機械学習モデル,baseline
BL0010,CN113421271A,true_random_baseline,pipeline/data/processed_full/B0_contexts.csv,7385,,,,,B0_contexts_random_seed_42,画像セグメンテーション; 画像分類; 画像前処理; 画像生成・再構成; 深層学習モデル,baseline
BL0011,CN112884748A,true_random_baseline,pipeline/data/processed_full/B0_contexts.csv,6820,,,,,B0_contexts_random_seed_42,support vector machine; 欠陥検出; 画像分類; 画像前処理,baseline
BL0012,CN115294099B,true_random_baseline,pipeline/data/processed_full/B0_contexts.csv,14066,,,,,B0_contexts_random_seed_42,画像セグメンテーション; 欠陥検出,baseline
BL0013,CN116740040B,true_random_baseline,pipeline/data/processed_full/B0_contexts.csv,19076,,,,,B0_contexts_random_seed_42,欠陥検出; 畳み込みニューラルネットワーク; エンコーダ・デコーダ構造; 深層学習モデル,baseline
BL0014,JP7271373B2,true_random_baseline,pipeline/data/processed_full/B0_contexts.csv,36006,,,,,B0_contexts_random_seed_42,撮像装置,baseline
BL0015,CN118675084A,true_random_baseline,pipeline/data/processed_full/B0_contexts.csv,26875,,,,,B0_contexts_random_seed_42,Autoencoder; CNN; 画像前処理; 画像生成・再構成; 畳み込みニューラルネットワーク,baseline
BL0016,CN115375888A,true_random_baseline,pipeline/data/processed_full/B0_contexts.csv,13417,,,,,B0_contexts_random_seed_42,画像セグメンテーション; 画像生成・再構成; 深層学習モデル; 機械学習モデル; 撮像装置,baseline
BL0017,KR20160087600A,true_random_baseline,pipeline/data/processed_full/B0_contexts.csv,37264,,,,,B0_contexts_random_seed_42,検査装置; 画像処理システム,baseline
BL0018,CN118552494A,true_random_baseline,pipeline/data/processed_full/B0_contexts.csv,26654,,,,,B0_contexts_random_seed_42,Autoencoder; CNN; 画像前処理; 画像生成・再構成; 畳み込みニューラルネットワーク,baseline
BL0019,CN117273664B,true_random_baseline,pipeline/data/processed_full/B0_contexts.csv,22354,,,,,B0_contexts_random_seed_42,画像分類; 画像生成・再構成; 教師あり学習; 撮像装置,baseline
BL0020,EP3971557B1,true_random_baseline,pipeline/data/processed_full/B0_contexts.csv,34169,,,,,B0_contexts_random_seed_42,画像セグメンテーション; 物体検出; 画像分類; 深層学習モデル; 機械学習モデル,baseline
BL0021,US2024185582A1,true_random_baseline,pipeline/data/processed_full/B0_contexts.csv,42780,,,,,B0_contexts_random_seed_42,k-means; 畳み込みニューラルネットワーク; エンコーダ・デコーダ構造; 深層学習モデル; 機械学習モデル,baseline
BL0022,CN113256591A,true_random_baseline,pipeline/data/processed_full/B0_contexts.csv,7578,,,,,B0_contexts_random_seed_42,画像セグメンテーション; 欠陥検出; 画像前処理; 画像生成・再構成; 撮像装置,baseline
BL0023,CN121391697A,true_random_baseline,pipeline/data/processed_full/B0_contexts.csv,31725,,,,,B0_contexts_random_seed_42,U-Net; 画像セグメンテーション; 欠陥検出; 画像分類; 特徴抽出,baseline
BL0024,CN121713211A,true_random_baseline,pipeline/data/processed_full/B0_contexts.csv,33599,,,,,B0_contexts_random_seed_42,画像セグメンテーション; 画像生成・再構成,baseline
BL0025,CN112906816B,true_random_baseline,pipeline/data/processed_full/B0_contexts.csv,6914,,,,,B0_contexts_random_seed_42,画像分類; 特徴抽出; 深層学習モデル,baseline
BL0026,CN118051872B,true_random_baseline,pipeline/data/processed_full/B0_contexts.csv,24589,,,,,B0_contexts_random_seed_42,Attention; 画像セグメンテーション; 特徴抽出; 画像前処理; 画像生成・再構成,baseline
BL0027,CN114494256B,true_random_baseline,pipeline/data/processed_full/B0_contexts.csv,11310,,,,,B0_contexts_random_seed_42,画像セグメンテーション; 欠陥検出,baseline
