group_type,group_value,count,candidate_score_mean,candidate_score_median,valid_candidate_count_score_ge_2,valid_candidate_rate_score_ge_2,representative_flag_count,label_◎,label_○,label_△,label_×
proposed_or_baseline,baseline,90,1.6333333333333333,2.0,48,0.5333333333333333,34,34,14,17,25
proposed_or_baseline,baseline_random,10,2.2,2.0,8,0.8,6,4,4,2,0
proposed_or_baseline,proposed,43,1.5348837209302326,1.0,20,0.46511627906976744,16,11,9,15,8
specific_method_flag,0,77,1.4675324675324675,1.0,38,0.4935064935064935,26,21,17,16,23
specific_method_flag,1,66,1.8484848484848484,2.0,38,0.5757575757575758,30,28,10,18,10
general_term_flag,0,10,0.5,0.0,2,0.2,1,1,1,0,8
general_term_flag,1,133,1.7293233082706767,2.0,74,0.556390977443609,55,48,26,34,25
rank_bucket,rank_001_005,40,0.875,0.5,11,0.275,5,4,7,9,20
rank_bucket,rank_006_010,30,1.8333333333333333,2.0,18,0.6,13,10,8,9,3
rank_bucket,rank_011_020,20,2.0,2.0,13,0.65,11,9,4,5,2
rank_bucket,rank_021_plus,13,2.4615384615384617,3.0,11,0.8461538461538461,8,8,3,2,0
rank_bucket,rank_missing,40,1.825,2.0,23,0.575,19,18,5,9,8
