candidate_type,k,evaluated_count,valid_candidate_count_score_ge_2,precision_at_k
frequency_top_baseline,5,5,4,0.8
frequency_top_baseline,10,10,8,0.8
frequency_top_baseline,20,20,15,0.75
fulltext_low_rank_baseline,5,5,4,0.8
fulltext_low_rank_baseline,10,10,8,0.8
fulltext_low_rank_baseline,20,10,8,0.8
fulltext_top_baseline,5,5,0,0.0
fulltext_top_baseline,10,10,2,0.2
fulltext_top_baseline,20,20,2,0.1
future_growth,5,5,1,0.2
future_growth,10,10,3,0.3
future_growth,20,10,3,0.3
proposed_top,5,5,2,0.4
proposed_top,10,10,3,0.3
proposed_top,20,20,9,0.45
true_random_baseline,5,5,3,0.6
true_random_baseline,10,10,7,0.7
true_random_baseline,20,20,13,0.65
unet_related,5,5,2,0.4
unet_related,10,10,5,0.5
unet_related,20,10,5,0.5
