group_type,group_value,count,candidate_score_mean,candidate_score_median,valid_candidate_count_score_ge_2,valid_candidate_rate_score_ge_2,representative_flag_count,label_◎,label_○,label_△,label_×
proposed_or_baseline,baseline_random,10,2.2,2.0,8,0.8,6,4,4,2,0
proposed_or_baseline,proposed,43,1.5348837209302326,1.0,20,0.46511627906976744,16,11,9,15,8
specific_method_flag,0,24,1.4583333333333333,1.5,12,0.5,9,4,8,7,5
specific_method_flag,1,29,1.8275862068965518,2.0,16,0.5517241379310345,13,11,5,10,3
general_term_flag,0,5,1.0,0.0,2,0.4,1,1,1,0,3
general_term_flag,1,48,1.7291666666666667,2.0,26,0.5416666666666666,21,14,12,17,5
rank_bucket,rank_001_005,5,1.2,1.0,2,0.4,1,0,2,2,1
rank_bucket,rank_006_010,25,1.76,2.0,14,0.56,11,8,6,8,3
rank_bucket,rank_011_020,10,1.9,2.0,6,0.6,5,3,3,4,0
rank_bucket,rank_021_plus,3,2.6666666666666665,3.0,3,1.0,2,2,1,0,0
rank_bucket,rank_missing,10,1.1,1.0,3,0.3,3,2,1,3,4
