section,metric,value,count
overall,count,53.0,53
overall,candidate_score_mean,1.6603773584905661,53
overall,candidate_score_median,2.0,53
overall,valid_candidate_rate_score_ge_2,0.5283018867924528,53
overall,representative_flag_1_count,22.0,53
final_label_count,△,17.0,17
final_label_count,◎,15.0,15
final_label_count,○,13.0,13
final_label_count,×,8.0,8
candidate_score_count,0,8.0,8
candidate_score_count,1,17.0,17
candidate_score_count,2,13.0,13
candidate_score_count,3,15.0,15
method_flag_comparison,specific_method_flag_count,29.0,29
method_flag_comparison,specific_method_flag_candidate_score_mean,1.8275862068965518,29
method_flag_comparison,specific_method_flag_valid_rate_score_ge_2,0.5517241379310345,29
method_flag_comparison,general_term_flag_count,48.0,48
method_flag_comparison,general_term_flag_candidate_score_mean,1.7291666666666667,48
method_flag_comparison,general_term_flag_valid_rate_score_ge_2,0.5416666666666666,48
