review_id,publication_number,family_id,candidate_type,method_name,source_file,source_row_index,method_source,proposed_or_baseline,rank,score,gap_score,similarity_score,future_count,future_rate,general_term_flag,specific_method_flag,a_publication_number,a_family_id,a_year,b_year,neighbor_rank,a_application_field,b_application_field,a_technical_means,b_technical_means,method,method_display,A_pre_count,B_pre_count,A_pre_rate,B_pre_rate,gap_rate,positive_gap,gap_score_old,gap_score_v2,B_future_count,B_future_rate,B_growth_rate,future_observed_flag
MR0001,CN108140650A,58516959,proposed_top,画像セグメンテーション,pipeline/data/processed_full/ranking/method_gap_ranking_with_future_full.csv,0,method_gap_ranking_with_future_full,proposed,1,0.1390878987572312,0.1390878987572312,1.0000007152557373,13449,0.3483023852070546,1,0,CN108140650B,58516959,2015,2015,1,医療画像解析,製造欠陥検出,画像セグメンテーション; 欠陥検出; 撮像装置,画像セグメンテーション; 欠陥検出; 撮像装置,画像セグメンテーション,画像セグメンテーション,,,0.5863944182228606,0.3024706164547853,0.2839238017680753,0.2839238017680753,0.3417039912630515,0.1390878987572312,13449,0.3483023852070546,0.0458317687522693,1
MR0002,CN114638777B,81942797,proposed_top,画像生成・再構成,pipeline/data/processed_full/ranking/method_gap_ranking_with_future_full.csv,1,method_gap_ranking_with_future_full,proposed,2,0.0296939432387199,0.0296939432387199,1.0000005960464478,13081,0.3387719161940279,1,0,CN119399174A,94431668,2024,2020,2,医療画像解析,製造欠陥検出,画像セグメンテーション; 画像前処理; 画像生成・再構成,欠陥検出; 物体検出; 特徴抽出; 画像生成・再構成; 畳み込みニューラルネットワーク,画像生成・再構成,画像生成・再構成,,,0.3260824953827211,0.2170784360757975,0.1090040593069235,0.1090040593069235,0.2132767222372471,0.0296939432387199,13081,0.3387719161940279,0.1216934801182303,1
MR0003,CN114638777A,81942797,proposed_top,深層学習モデル,pipeline/data/processed_full/ranking/method_gap_ranking_with_future_full.csv,2,method_gap_ranking_with_future_full,proposed,3,0.0030339413955321,0.0030339413955321,1.0000005960464478,7200,0.1864656980809572,1,0,CN119399174A,94431668,2024,2020,3,医療画像解析,製造欠陥検出,画像セグメンテーション; 画像前処理; 画像生成・再構成,欠陥検出; 物体検出; 画像生成・再構成; 畳み込みニューラルネットワーク; 深層学習モデル,深層学習モデル,深層学習モデル,,,0.1484711676585265,0.1240105540897097,0.0244606135688168,0.0244606135688168,0.1086522476028408,0.0030339413955321,7200,0.1864656980809572,0.0624551439912474,1
MR0004,IN202321031673A,1161813716,proposed_top,CNN,pipeline/data/processed_full/ranking/method_gap_ranking_with_future_full.csv,3,method_gap_ranking_with_future_full,proposed,4,0.0029517697601706,0.0029517697601706,1.000000238418579,4773,0.1236112190195012,1,1,IN202321031673A,1161813716,2023,2023,1,医療画像解析,製造欠陥検出,CNN; 畳み込みニューラルネットワーク; 深層学習モデル; 機械学習モデル; 撮像装置,CNN; 畳み込みニューラルネットワーク; 深層学習モデル; 機械学習モデル; 撮像装置,cnn,CNN,,,0.1243587112661604,0.0959462700887503,0.0284124411774101,0.0284124411774101,0.0939221816548174,0.0029517697601706,4773,0.1236112190195012,0.0276649489307509,1
MR0005,CN111527517B,67223245,proposed_top,画像処理システム,pipeline/data/processed_full/ranking/method_gap_ranking_with_future_full.csv,4,method_gap_ranking_with_future_full,proposed,5,0.0020845323913557,0.0020845323913557,0.9988460540771484,243,0.0062932173102323,1,0,CN114822783A,58630284,2016,2018,1,医療画像解析,製造欠陥検出,画像生成・再構成; 画像処理システム,画像生成・再構成; 画像処理システム,画像処理システム,画像処理システム,,,0.0635132361994664,0.0242264331974094,0.0392868030020569,0.0392868030020569,0.0517739151878102,0.0020845323913557,243,0.0062932173102323,-0.0179332158871771,1
MR0006,BR102023015958A2,1172173534,proposed_top,機械学習モデル,pipeline/data/processed_full/ranking/method_gap_ranking_with_future_full.csv,5,method_gap_ranking_with_future_full,proposed,6,0.0010903263849834,0.0010903263849834,1.0000004768371582,2687,0.0695879626032683,1,0,EP3913574B1,72665141,2020,2023,2,医療画像解析,製造欠陥検出,画像分類; 画像前処理; 深層学習モデル; 撮像装置,画像分類; 深層学習モデル; 機械学習モデル; 撮像装置; 検査装置,機械学習モデル,機械学習モデル,,,0.0688487584650112,0.0498920604461501,0.0189566980188611,0.0189566980188611,0.0546470568897136,0.0010903263849834,2687,0.0695879626032683,0.0196959021571181,1
MR0007,IN202441071385A,1171995006,proposed_top,U-Net,pipeline/data/processed_full/ranking/method_gap_ranking_with_future_full.csv,6,method_gap_ranking_with_future_full,proposed,7,0.0001974343014506,0.0001974343014506,1.0000001192092896,842,0.021806127470023,1,1,IN202441071385A,1171995006,2024,2024,1,医療画像解析,製造欠陥検出,U-Net; 画像分類; 画像前処理; 撮像装置,U-Net; 画像分類; 画像前処理; 撮像装置,u-net,U-Net,,,0.0154935358095628,0.0002398656752218,0.015253670134341,0.015253670134341,0.0129402918773109,0.0001974343014506,842,0.021806127470023,0.0215662617948011,1
MR0008,CN119541624A,94708066,proposed_top,k-means,pipeline/data/processed_full/ranking/method_gap_ranking_with_future_full.csv,7,method_gap_ranking_with_future_full,proposed,8,6.196784582097919e-05,6.196784582097919e-05,1.0,736,0.0190609380260534,1,1,CN119541624A,94708066,2024,2024,1,医療画像解析,製造欠陥検出,Attention; CNN; k-means; 画像セグメンテーション; 画像分類,Attention; CNN; k-means; 画像セグメンテーション; 画像分類,k-means,k-means,,,0.0114918941104042,0.0050371791796593,0.0064547149307448,0.0064547149307448,0.0095520411574684,6.196784582097919e-05,736,0.0190609380260534,0.014023758846394,1
MR0009,CN118538411A,92392864,proposed_top,random forest,pipeline/data/processed_full/ranking/method_gap_ranking_with_future_full.csv,8,method_gap_ranking_with_future_full,proposed,9,5.8332139760198474e-05,5.8332139760198474e-05,1.0,220,0.0056975629969181,1,1,CN118538411A,92392864,2024,2024,1,医療画像解析,製造欠陥検出,random forest; principal component analysis; 画像セグメンテーション; 画像分類; 特徴抽出,random forest; principal component analysis; 画像セグメンテーション; 画像分類; 特徴抽出,random forest,random forest,,,0.0159039605992201,0.01151355241065,0.0043904081885701,0.0043904081885701,0.0131332958429595,5.8332139760198474e-05,220,0.0056975629969181,-0.0058159894137319,1
MR0010,CN117309874A,89254558,proposed_top,信号処理,pipeline/data/processed_full/ranking/method_gap_ranking_with_future_full.csv,9,method_gap_ranking_with_future_full,proposed,10,4.133355641687074e-05,4.133355641687074e-05,0.959313988685608,85,0.0022013311579001,1,0,CN108596190A,63614064,2018,2023,1,医療画像解析,製造欠陥検出,principal component analysis; 画像生成・再構成,特徴抽出; 画像前処理; 画像生成・再構成; 機械学習モデル; 信号処理,信号処理,信号処理,,,0.0086189205828032,0.0028783881026625,0.0057405324801406,0.0057405324801406,0.0071795748116435,4.133355641687074e-05,85,0.0022013311579001,-0.0006770569447623,1
MR0011,CN115375606B,84058607,proposed_top,principal component analysis,pipeline/data/processed_full/ranking/method_gap_ranking_with_future_full.csv,10,method_gap_ranking_with_future_full,proposed,11,2.5554115455910375e-05,2.5554115455910375e-05,0.999999701976776,483,0.0125087405795975,1,1,CN115375606B,84058607,2021,2021,1,医療画像解析,製造欠陥検出,Autoencoder; principal component analysis; 画像セグメンテーション; エンコーダ・デコーダ構造; 撮像装置,Autoencoder; principal component analysis; 画像セグメンテーション; エンコーダ・デコーダ構造; 撮像装置,principal component analysis,principal component analysis,,,0.0125179560845475,0.0100743583593187,0.0024435977252287,0.0024435977252287,0.01035222527754,2.5554115455910375e-05,483,0.0125087405795975,0.0024343822202787,1
MR0012,JP7519232B2,80494925,proposed_top,skip connection,pipeline/data/processed_full/ranking/method_gap_ranking_with_future_full.csv,11,method_gap_ranking_with_future_full,proposed,12,7.298841954928868e-06,7.298841954928868e-06,1.0000003576278689,224,0.0058011550514075,1,0,AR115523B1,1169067310,2019,2020,1,医療画像解析,製造欠陥検出,深層学習モデル,Attention; skip connection; 画像分類; 画像生成・再構成; 注意機構,skip connection,skip connection,,,0.0030781859224297,0.0002398656752218,0.0028383202472078,0.0028383202472078,0.002570918916022,7.298841954928868e-06,224,0.0058011550514075,0.0055612893761856,1
MR0013,CN119107599A,93716809,proposed_top,Transformer,pipeline/data/processed_full/ranking/method_gap_ranking_with_future_full.csv,12,method_gap_ranking_with_future_full,proposed,13,6.671900856574683e-06,6.671900856574683e-06,1.0000001192092896,926,0.0239815606143008,1,1,CN112071422B,73665544,2020,2024,1,医療画像解析,製造欠陥検出,画像セグメンテーション; 画像分類; 画像前処理; 画像生成・再構成; 深層学習モデル,Transformer; Attention; 画像前処理; 画像生成・再構成; エンコーダ・デコーダ構造,transformer,Transformer,,,0.003488610712087,0.0011993283761093,0.0022892823359776,0.0022892823359776,0.0029109118398491,6.671900856574683e-06,926,0.0239815606143008,0.0227822322381915,1
MR0014,CN119205707A,94063698,proposed_top,ResNet,pipeline/data/processed_full/ranking/method_gap_ranking_with_future_full.csv,13,method_gap_ranking_with_future_full,proposed,14,5.511795272927064e-06,5.511795272927064e-06,0.9971823692321776,859,0.022246393701603,1,1,CN111145190B,70520837,2019,2024,1,医療画像解析,製造欠陥検出,画像セグメンテーション,ResNet; 画像セグメンテーション; 特徴抽出; 画像前処理; 画像生成・再構成,resnet,ResNet,,,0.0042068540939872,0.0026385224274406,0.0015683316665466,0.0015683316665466,0.0035051592687588,5.511795272927064e-06,859,0.022246393701603,0.0196078712741624,1
