section,metric,value,count
overall,candidate_score_mean,,0
overall,candidate_score_median,,0
overall,candidate_score_count,0,0
candidate_type_mean,future_growth,,0
candidate_type_mean,proposed_top,,0
candidate_type_mean,random_low_rank,,0
candidate_type_mean,unet_related,,0
method_mean,baseline_random,,0
precision_at_5,baseline_random,,5
precision_at_10,baseline_random,,10
precision_at_20,baseline_random,,10
method_mean,proposed,,0
precision_at_5,proposed,,5
precision_at_10,proposed,,10
precision_at_20,proposed,,20
flag_comparison,specific_method_flag_1,,0
flag_comparison,general_term_flag_1,,0
u_net_subset,candidate_score_mean,,0
u_net_subset,review_count,13,13
