year,is_unet_raw,is_unet_title_abstract,is_unet_claims,is_unet_full_text,is_unet_final,is_unet,is_yolo,is_gan,is_cyclegan,is_transformer,is_attention,is_autoencoder,is_cnn,is_domain_adaptation,is_resnet,is_vgg,is_efficientnet,domain
2015,0,0,0,0,0,0,0,0,0,10,6,1,2,0,0,0,0,A0
2016,0,0,0,0,0,0,0,0,0,6,8,8,28,0,0,2,0,A0
2017,3,3,22,22,3,3,0,12,0,10,8,19,77,0,6,15,0,A0
2018,52,52,125,132,52,52,12,30,2,17,50,28,189,1,38,22,0,A0
2019,114,114,223,234,114,114,12,57,4,15,196,50,271,10,64,46,0,A0
2020,165,166,469,484,166,166,18,89,4,17,362,54,307,22,149,76,14,A0
2021,248,254,658,677,254,254,46,81,6,93,743,77,359,20,201,54,38,A0
2022,296,303,679,714,303,303,60,116,19,337,1280,93,414,20,233,56,35,A0
2023,332,337,821,857,337,337,63,113,20,618,1761,111,515,36,300,58,39,A0
2024,377,381,913,949,381,381,75,124,32,828,2339,131,623,52,325,65,38,A0
2015,0,0,0,0,0,0,0,1,0,2,9,1,14,0,0,0,0,B0
2016,0,0,0,0,0,0,0,1,0,3,9,1,9,0,0,0,0,B0
2017,0,0,1,1,0,0,2,6,0,0,22,34,52,0,1,5,0,B0
2018,0,0,3,3,0,0,9,7,0,0,11,35,45,0,11,14,0,B0
2019,9,10,38,38,10,10,20,38,1,15,60,53,147,0,48,25,0,B0
2020,35,35,66,68,35,35,56,51,3,14,138,93,175,7,66,39,5,B0
2021,42,43,107,109,43,43,116,88,8,44,358,218,203,4,149,40,17,B0
2022,41,42,135,139,42,42,162,85,11,163,884,232,267,15,185,51,29,B0
2023,87,89,221,221,89,89,238,71,8,295,1410,232,290,11,214,58,23,B0
2024,95,95,249,255,95,95,375,121,15,479,2288,276,531,22,240,56,43,B0
