period,method,n_A,n_B,count_A,count_B,rate_A,rate_B,gap,ratio
past(2015-2018),U-Net,217,490,0,0,0.0,0.0,0.0,0.0
past(2015-2018),YOLO,217,490,0,0,,,,
past(2015-2018),GAN,217,490,0,0,,,,
past(2015-2018),CycleGAN,217,490,0,0,,,,
past(2015-2018),Transformer,217,490,0,0,,,,
past(2015-2018),Attention,217,490,0,0,,,,
past(2015-2018),Autoencoder,217,490,0,0,,,,
past(2015-2018),CNN,217,490,0,0,,,,
past(2015-2018),Domain Adaptation,217,490,0,0,,,,
past(2015-2018),ResNet,217,490,0,0,,,,
past(2015-2018),VGG,217,490,0,0,,,,
past(2015-2018),EfficientNet,217,490,0,0,,,,
future(2019-2024),U-Net,386,130,6,0,0.015544,0.0,0.015544,15544.0415
future(2019-2024),YOLO,386,130,0,0,,,,
future(2019-2024),GAN,386,130,0,0,,,,
future(2019-2024),CycleGAN,386,130,0,0,,,,
future(2019-2024),Transformer,386,130,0,0,,,,
future(2019-2024),Attention,386,130,0,0,,,,
future(2019-2024),Autoencoder,386,130,0,0,,,,
future(2019-2024),CNN,386,130,0,0,,,,
future(2019-2024),Domain Adaptation,386,130,0,0,,,,
future(2019-2024),ResNet,386,130,0,0,,,,
future(2019-2024),VGG,386,130,0,0,,,,
future(2019-2024),EfficientNet,386,130,0,0,,,,
all(2015-2024),U-Net,603,620,6,0,0.00995,0.0,0.00995,9950.2488
all(2015-2024),YOLO,603,620,0,0,,,,
all(2015-2024),GAN,603,620,0,0,,,,
all(2015-2024),CycleGAN,603,620,0,0,,,,
all(2015-2024),Transformer,603,620,0,0,,,,
all(2015-2024),Attention,603,620,0,0,,,,
all(2015-2024),Autoencoder,603,620,0,0,,,,
all(2015-2024),CNN,603,620,0,0,,,,
all(2015-2024),Domain Adaptation,603,620,0,0,,,,
all(2015-2024),ResNet,603,620,0,0,,,,
all(2015-2024),VGG,603,620,0,0,,,,
all(2015-2024),EfficientNet,603,620,0,0,,,,
