period,method,n_A,n_B,count_A,count_B,rate_A,rate_B,gap,ratio
past(2015-2018),U-Net,386,794,0,0,0.0,0.0,0.0,0.0
past(2015-2018),YOLO,386,794,0,2,0.0,0.002519,-0.002519,0.0
past(2015-2018),GAN,386,794,0,1,0.0,0.001259,-0.001259,0.0
past(2015-2018),CycleGAN,386,794,0,0,0.0,0.0,0.0,0.0
past(2015-2018),Transformer,386,794,0,2,0.0,0.002519,-0.002519,0.0
past(2015-2018),Attention,386,794,0,11,0.0,0.013854,-0.013854,0.0
past(2015-2018),Autoencoder,386,794,0,1,0.0,0.001259,-0.001259,0.0
past(2015-2018),CNN,386,794,10,13,0.025907,0.016373,0.009534,1.5822
past(2015-2018),Domain Adaptation,386,794,0,0,0.0,0.0,0.0,0.0
past(2015-2018),ResNet,386,794,0,0,0.0,0.0,0.0,0.0
past(2015-2018),VGG,386,794,0,0,0.0,0.0,0.0,0.0
past(2015-2018),EfficientNet,386,794,0,0,0.0,0.0,0.0,0.0
future(2019-2024),U-Net,614,206,7,0,0.011401,0.0,0.011401,11400.6515
future(2019-2024),YOLO,614,206,1,0,0.001629,0.0,0.001629,1628.6645
future(2019-2024),GAN,614,206,2,3,0.003257,0.014563,-0.011306,0.2237
future(2019-2024),CycleGAN,614,206,0,0,0.0,0.0,0.0,0.0
future(2019-2024),Transformer,614,206,13,4,0.021173,0.019417,0.001755,1.0903
future(2019-2024),Attention,614,206,18,4,0.029316,0.019417,0.009898,1.5097
future(2019-2024),Autoencoder,614,206,3,8,0.004886,0.038835,-0.033949,0.1258
future(2019-2024),CNN,614,206,69,10,0.112378,0.048544,0.063834,2.3149
future(2019-2024),Domain Adaptation,614,206,0,0,0.0,0.0,0.0,0.0
future(2019-2024),ResNet,614,206,10,0,0.016287,0.0,0.016287,16286.645
future(2019-2024),VGG,614,206,6,0,0.009772,0.0,0.009772,9771.987
future(2019-2024),EfficientNet,614,206,2,0,0.003257,0.0,0.003257,3257.329
all(2015-2024),U-Net,1000,1000,7,0,0.007,0.0,0.007,7000.0
all(2015-2024),YOLO,1000,1000,1,2,0.001,0.002,-0.001,0.4998
all(2015-2024),GAN,1000,1000,2,4,0.002,0.004,-0.002,0.4999
all(2015-2024),CycleGAN,1000,1000,0,0,0.0,0.0,0.0,0.0
all(2015-2024),Transformer,1000,1000,13,6,0.013,0.006,0.007,2.1663
all(2015-2024),Attention,1000,1000,18,15,0.018,0.015,0.003,1.1999
all(2015-2024),Autoencoder,1000,1000,3,9,0.003,0.009,-0.006,0.3333
all(2015-2024),CNN,1000,1000,79,23,0.079,0.023,0.056,3.4346
all(2015-2024),Domain Adaptation,1000,1000,0,0,0.0,0.0,0.0,0.0
all(2015-2024),ResNet,1000,1000,10,0,0.01,0.0,0.01,10000.0
all(2015-2024),VGG,1000,1000,6,0,0.006,0.0,0.006,6000.0
all(2015-2024),EfficientNet,1000,1000,2,0,0.002,0.0,0.002,2000.0
