domain,section,metric,count,rate
A0,input,records,1000,1.0
A0,text,title_nonempty,1000,1.0
A0,text,abstract_nonempty,968,0.968
A0,text,claims_nonempty,990,0.99
A0,context,problem_context_nonempty,968,0.968
A0,context,solution_context_nonempty,996,0.996
A0,context,technical_means_nonempty,930,0.93
A0,unet,is_unet_title_abstract,7,0.007
A0,unet,is_unet_claims,33,0.033
A0,unet,is_unet_full_text,33,0.033
A0,unet,is_unet_final,7,0.007
A0,domain_qc,domain_noise_flag,48,0.048
A0,domain_qc,analysis_include,952,0.952
B0,input,records,1000,1.0
B0,text,title_nonempty,1000,1.0
B0,text,abstract_nonempty,977,0.977
B0,text,claims_nonempty,977,0.977
B0,context,problem_context_nonempty,977,0.977
B0,context,solution_context_nonempty,991,0.991
B0,context,technical_means_nonempty,931,0.931
B0,unet,is_unet_title_abstract,0,0.0
B0,unet,is_unet_claims,3,0.003
B0,unet,is_unet_full_text,3,0.003
B0,unet,is_unet_final,0,0.0
B0,domain_qc,domain_noise_flag,45,0.045
B0,domain_qc,analysis_include,955,0.955
